Назва,Місто/район
з 1 га зібраної площі ц","Урожайність
з 1 га зібраної площі у % до 2018р."
,
м.Балта,Місто
м.Білгород-Дністровський,Місто
м.Біляївка,Місто
м.Ізмаїл,Місто
М.Подільськ,Місто
Ананьївський,Район
Арцизький,Район
Балтський,Район
Білгород-Дністровський,Район
Біляївський,Район
Березівський,Район
Болградський,Район
Великомихайлівський,Район
Іванівський,Район
Ізмаїльський,Район
Кілійський,Район
Кодимський,Район
Лиманський,Район
Подільський,Район
Окнянський,Район
Любашівський,Район
Миколаївський,Район
Овідіопольський,Район
Роздільнянський,Район
Ренійський,Район
Савранський,Район
Саратський,Район
Тарутинський,Район
Татарбунарський,Район
Захарівський,Район
Ширяївський,Район
